Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
MATN2,0.409,0.00047022632579702864,0.001953125,10,0.04061925643723156,0.11659203506097561,True,False,up
MYOC,-0.65112,0.00048446068564611956,0.001953125,10,0.04065317239264723,0.11659203506097561,True,False,down
NTF3,0.5877749999999999,0.0005175850198386601,0.0078125,8,0.04217119015045195,0.11659203506097561,True,False,up
SPON1,0.35155000000000003,0.0005312679726137971,0.001953125,10,0.04217119015045195,0.11659203506097561,True,False,up
SFRP1,0.9442111111111111,0.000677230091571482,0.00390625,9,0.050894400654077875,0.11659203506097561,False,False,up
BLMH,0.17914,0.0006893633565704271,0.00390625,10,0.050894400654077875,0.11659203506097561,False,False,up
SUMF2,0.45914,0.0006971846378713058,0.00390625,10,0.050894400654077875,0.11659203506097561,False,False,up
FLT3LG,-0.30151000000000006,0.0007104768222053772,0.001953125,10,0.050894400654077875,0.11659203506097561,False,False,down
KLK6,-0.31679999999999997,0.0008026035851679022,0.00390625,9,0.054518606761381455,0.11659203506097561,False,False,down
IMPA1,0.7854777777777777,0.0008033370282507699,0.00390625,9,0.054518606761381455,0.11659203506097561,False,False,up
GYS1,0.9963333333333334,0.0008729218622042461,0.0078125,9,0.054518606761381455,0.11659203506097561,False,False,up
CHMP6,0.5338900000000001,0.0008811265839118981,0.00390625,10,0.054518606761381455,0.11659203506097561,False,False,up
CNTN2,-0.34053000000000005,0.0008830612688863777,0.001953125,10,0.054518606761381455,0.11659203506097561,False,False,down
COL18A1,0.17850999999999997,0.0008867785147316089,0.005859375,10,0.054518606761381455,0.11659203506097561,False,False,up
RNASE4,0.21534444444444445,0.0008910088949766121,0.0078125,9,0.054518606761381455,0.11659203506097561,False,False,up
PMM2,1.3663375,0.000951464410595902,0.0078125,8,0.05702961171265641,0.11659203506097561,False,False,up
PEAR1,0.13959,0.0010106471704154373,0.00390625,10,0.05852148932010927,0.11659203506097561,False,False,up
SCT,-0.84815,0.001016205636814972,0.0078125,8,0.05852148932010927,0.11659203506097561,False,False,down
SRPK2,0.696025,0.0010434779223673408,0.0078125,8,0.05893643573063231,0.11659203506097561,False,False,up
PPIB,1.1163399999999999,0.001101904402787756,0.00390625,10,0.060516885223865766,0.11659203506097561,False,False,up
IGFBP7,0.32847,0.00111267000411602,0.00390625,10,0.060516885223865766,0.11659203506097561,False,False,up
NFX1,1.2797625000000001,0.0011350786134129535,0.0078125,8,0.06061319795625172,0.11659203506097561,False,False,up
ANKMY2,1.27394,0.0011750224458953742,0.001953125,10,0.061625730778477036,0.11659203506097561,False,False,up
IL1RL1,0.17798999999999998,0.0012327593305310088,0.00390625,10,0.06351954655736093,0.11659203506097561,False,False,up
PKD2,0.9302499999999999,0.0012557896489166906,0.0078125,8,0.0635905896356607,0.11659203506097561,False,False,up
RAB33A,0.98105,0.0013545901573454118,0.0078125,8,0.06743103884955041,0.11659203506097561,False,False,up
NDUFB7,1.0121499999999999,0.0014064213312903952,0.00390625,10,0.0682798030062048,0.11659203506097561,False,False,up
CRELD2,0.34021,0.0014181368687022449,0.005859375,10,0.0682798030062048,0.11659203506097561,False,False,up
REPS1,-0.5651200000000001,0.001533670560821085,0.001953125,10,0.0719651388044421,0.11659203506097561,False,False,down
CALCA,0.5984111111111111,0.0015832982462454846,0.01171875,9,0.0719651388044421,0.11810087316176471,False,False,up
MYDGF,0.80968,0.001645440440661368,0.009765625,10,0.0719651388044421,0.11659203506097561,False,False,up
PXDNL,-0.49566999999999994,0.0016790466461593272,0.005859375,10,0.0719651388044421,0.11659203506097561,False,False,down
OMG,-1.1851333333333331,0.0016794180845503663,0.0078125,9,0.0719651388044421,0.11659203506097561,False,False,down
F11R,0.75198,0.0017224551947206798,0.00390625,10,0.0719651388044421,0.11659203506097561,False,False,up
LUZP2,-0.37941,0.0017300212441851421,0.00390625,10,0.0719651388044421,0.11659203506097561,False,False,down
WARS,0.20638,0.0017465358090966476,0.005859375,10,0.0719651388044421,0.11659203506097561,False,False,up
RSPO3,0.20893,0.0017863310044764203,0.001953125,10,0.0719651388044421,0.11659203506097561,False,False,up
