Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
CLEC1B,1.0501900000000002,0.0018501932458673343,0.001953125,10,0.09368995798469588,0.12204953457446809,False,False,up
ADGRG1,0.37724,0.001931210102766703,0.001953125,10,0.0938176301654541,0.12204953457446809,False,False,up
NCR3LG1,0.27297,0.0019394123600876172,0.001953125,10,0.0938176301654541,0.12204953457446809,False,False,up
ADAM9,0.41963,0.0019485445829392916,0.005859375,10,0.0938176301654541,0.13723273026315788,False,False,up
RGS10,0.49827000000000005,0.0019841933191281904,0.00390625,10,0.09399315771418541,0.12890625,False,False,up
BSG,-0.059629999999999996,0.002188274533447052,0.005859375,10,0.1013369127548623,0.13723273026315788,False,False,down
ASGR1,0.2447888888888889,0.0022082269037491274,0.00390625,9,0.1013369127548623,0.12890625,False,False,up
SOST,0.45418000000000003,0.0022456002402277274,0.005859375,10,0.10146658316228978,0.13723273026315788,False,False,up
ALPI,-0.4241499999999999,0.0023185020983754073,0.0078125,8,0.10215088042685778,0.13723273026315788,False,False,down
THBS4,-0.22618999999999997,0.00234182935688314,0.005859375,10,0.10215088042685778,0.13723273026315788,False,False,down
TNFSF12,0.22409000000000004,0.002414990571037341,0.005859375,10,0.10215088042685778,0.13723273026315788,False,False,up
CTF1,0.5903499999999999,0.002427486907810116,0.005859375,10,0.10215088042685778,0.13723273026315788,False,False,up
IGSF9,0.29958,0.0024626796509574786,0.00390625,10,0.10215088042685778,0.12890625,False,False,up
MDK,0.36179999999999995,0.002469428842460641,0.009765625,10,0.10215088042685778,0.13723273026315788,False,False,up
WIF1,0.2783,0.0025237551180509587,0.005859375,10,0.10294817752382869,0.13723273026315788,False,False,up
GZMA,0.19648,0.0026094468389677716,0.009765625,10,0.10498555295956638,0.13723273026315788,False,False,up
UNC79,0.57047,0.0027550192371216323,0.005859375,10,0.10934447972197613,0.13723273026315788,False,False,up
FCRL1,0.22326000000000007,0.0029513869651758506,0.001953125,10,0.11557631355628632,0.12204953457446809,False,False,up
PPP1R12A,0.9276200000000001,0.0031717581686877623,0.00390625,10,0.12257175975573628,0.12890625,False,False,up
CD79B,0.15672000000000003,0.003379609364298357,0.005859375,10,0.126670263654372,0.13723273026315788,False,False,up
CTSO,0.22244000000000003,0.0033816742547422935,0.009765625,10,0.126670263654372,0.13723273026315788,False,False,up
INSL3,0.32675,0.0034149877828909335,0.005859375,10,0.126670263654372,0.13723273026315788,False,False,up
SNAP23,1.1754000000000002,0.003492226465855364,0.005859375,10,0.126670263654372,0.13723273026315788,False,False,up
CA3,-0.41228999999999993,0.0035401467701486004,0.00390625,10,0.126670263654372,0.12890625,False,False,down
PRSS8,0.16772000000000004,0.003577623457899153,0.009765625,10,0.126670263654372,0.13723273026315788,False,False,up
DOK2,1.14409,0.0035797180399430974,0.00390625,10,0.126670263654372,0.12890625,False,False,up
PRKD2,0.50862,0.0037668728762066494,0.009765625,10,0.1317060194930825,0.13723273026315788,False,False,up
SPINK2,0.12940000000000002,0.00386525959678296,0.0078125,8,0.1324106405109584,0.13723273026315788,False,False,up
PPIB,0.8086800000000001,0.0039015053099458728,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
DIABLO,1.15157,0.003937579634078708,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
GRAP2,0.9393900000000001,0.004049978307090548,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
SF3B4,0.5327599999999999,0.004180723341083646,0.001953125,10,0.1324106405109584,0.12204953457446809,False,False,up
CA13,1.0454499999999998,0.004197985823710309,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
CNPY4,0.5339599999999999,0.004288830555262491,0.001953125,10,0.1324106405109584,0.12204953457446809,False,False,up
STK4,0.69458,0.0042957004298493995,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
VCAN,0.23462999999999998,0.004451303525946664,0.013671875,10,0.1324106405109584,0.14871961805555556,False,False,up
KLK7,0.277475,0.004469649517987661,0.015625,8,0.1324106405109584,0.16158670774647887,False,False,up
TNFRSF11B,0.21423,0.004474023340030104,0.02734375,10,0.1324106405109584,0.19492377123786409,False,False,up
EPGN,0.24476,0.004521439200851078,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
CXCL5,0.9041599999999999,0.004708678912990523,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
IL1RN,0.21699000000000002,0.0047232022710807205,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
CNST,0.8293100000000001,0.004742390670094476,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
FSTL3,0.19710999999999998,0.0048216279459660375,0.01953125,10,0.1324106405109584,0.17021745178041542,False,False,up
GNLY,0.15179,0.004846849904132687,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
TFPI2,0.17320000000000002,0.0048629028946562194,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
P4HB,0.22458,0.004865573619352247,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
ECI2,0.53128,0.004879258489472604,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
LRRC37A2,0.17125,0.0048807475343308265,0.013671875,10,0.1324106405109584,0.14871961805555556,False,False,up
PCDH17,0.24054999999999999,0.004924316032581566,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
COX5B,0.50716,0.004996600088980106,0.005859375,10,0.1324106405109584,0.13723273026315788,False,False,up
PLEKHO1,0.6450199999999999,0.005015484302064258,0.005859375,10,0.1324106405109584,0.13723273026315788,False,False,up
SNAP29,0.9856099999999998,0.005105317061765188,0.001953125,10,0.1324106405109584,0.12204953457446809,False,False,up
GSTT2B,0.49481,0.005122316013057459,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
TNN,0.24564000000000002,0.00515521798527632,0.001953125,10,0.1324106405109584,0.12204953457446809,False,False,up
RICTOR,0.5269375000000001,0.005161583201114661,0.015625,8,0.1324106405109584,0.16158670774647887,False,False,up
NUCB2,0.36043000000000003,0.005163975022680921,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
WASF1,0.9936699999999998,0.005186197457770304,0.00390625,10,0.1324106405109584,0.12890625,False,False,up
LDLRAP1,0.60456,0.005196636818500318,0.009765625,10,0.1324106405109584,0.13723273026315788,False,False,up
AK2,1.01263,0.005229701838362674,0.005859375,10,0.1324106405109584,0.13723273026315788,False,False,up
MATN3,0.19282222222222226,0.005356039357153692,0.0078125,9,0.1343002289124173,0.13723273026315788,False,False,up
RSPO1,0.3665333333333333,0.005395787201792728,0.00390625,9,0.1343002289124173,0.12890625,False,False,up
SRC,1.3960700000000001,0.005520123923687939,0.005859375,10,0.13624036944429813,0.13723273026315788,False,False,up
CD69,0.88018,0.0057103979174638695,0.005859375,10,0.1397619890299282,0.13723273026315788,False,False,up
ENTPD2,0.22096999999999997,0.0059133980820861385,0.009765625,10,0.14353429890154537,0.13723273026315788,False,False,up
TIMP3,1.0676700000000001,0.006192578003336301,0.02734375,10,0.14703563124349625,0.19492377123786409,False,False,up
SLC39A5,0.52445,0.006197576574197052,0.015625,8,0.14703563124349625,0.16158670774647887,False,False,up
CD40,0.46768,0.006240123255230748,0.005859375,10,0.14703563124349625,0.13723273026315788,False,False,up
LY6D,0.20232,0.006284931255295995,0.009765625,10,0.14703563124349625,0.13723273026315788,False,False,up
IGFBP7,0.19314000000000003,0.00632202076853274,0.009765625,10,0.14703563124349625,0.13723273026315788,False,False,up
MCEMP1,0.8868499999999999,0.006358026955370794,0.015625,8,0.14703563124349625,0.16158670774647887,False,False,up
PLXNA4,1.0764375000000002,0.006611313029378481,0.015625,8,0.15169864349441092,0.16158670774647887,False,False,up
SCARF1,0.31882,0.006681145200750869,0.013671875,10,0.15194372481329166,0.14871961805555556,False,False,up
REN,0.33890999999999993,0.00672546279391485,0.009765625,10,0.15194372481329166,0.13723273026315788,False,False,up
CRELD2,0.33329,0.0068309468205388,0.013671875,10,0.15314878482383554,0.14871961805555556,False,False,up
CDAN1,0.24584,0.00695153089181637,0.00390625,10,0.15328650089859183,0.12890625,False,False,up
VSIR,0.44974,0.0069759387446323255,0.01953125,10,0.15328650089859183,0.17021745178041542,False,False,up
CIRBP,1.0091499999999998,0.007053292463352729,0.009765625,10,0.15328650089859183,0.13723273026315788,False,False,up
SFRP1,0.8644888888888889,0.007097839645151811,0.0078125,9,0.15328650089859183,0.13723273026315788,False,False,up
SIAE,0.38485,0.007142289525024811,0.013671875,10,0.15328650089859183,0.14871961805555556,False,False,up
