protein,contrast,module,MM,GS,score,top_term,top_term_fdr
CDC42BPB,PR2/PT2,black,0.932,0.55,0.513,Protein Phosphorylation,2.9e-02
F11R,PR2/PT2,black,0.973,0.527,0.512,Cell adhesion molecules,4.6e-15
CDH1,PT1/PT2,dimgrey,0.878,0.582,0.511,Cell adhesion molecules,3.2e-04
PARK7,PR2/PT2,black,0.909,0.561,0.51,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
PMVK,PR2/PT2,black,0.972,0.524,0.509,,
PRKG1,PR2/PT2,black,0.901,0.564,0.508,Platelet activation,9.7e-05
METAP2,PR2/PT2,black,0.956,0.531,0.508,Proteolysis,3.4e-09
DIABLO,PR2/PT2,black,0.932,0.544,0.507,Regulation Of Apoptotic Process,2.5e-05
GRAP2,PR2/PT2,black,0.918,0.551,0.506,Regulation Of MAPK Cascade,6.2e-09
AKR1B1,PR2/PT2,black,0.88,0.574,0.506,Positive Regulation Of Cell Population Proliferation,1.3e-09
DARS1,PR2/PT2,black,0.933,0.542,0.506,Protein-Containing Complex Assembly,1.1e-03
PIK3IP1,PT1/PT2,dimgrey,0.811,0.624,0.506,Negative Regulation Of Phosphatidylinositol 3-Kinase Signaling,3.3e-02
MAVS,PR2/PT2,black,0.959,0.527,0.505,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
HTRA2,PR2/PT2,black,0.912,0.554,0.505,Proteolysis,3.4e-09
MTSS1,PR2/PT2,black,0.939,0.538,0.505,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,1.3e-05
SCRIB__Cardiometabolic_II,PR2/PT2,black,0.881,0.573,0.505,,
NPC2,PT1/PT2,dimgrey,0.918,0.549,0.504,Lysosome,5.7e-03
LGALS8,PR2/PT2,black,0.927,0.544,0.504,,
MIF,PR2/PT2,black,0.945,0.533,0.504,Tyrosine metabolism,1.8e-03
PPP1R12A,PR2/PT2,black,0.923,0.545,0.503,Regulation Of Cell Adhesion,1.7e-09
CST3,PT1/PT2,dimgrey,0.789,0.638,0.503,Negative Regulation Of Proteolysis,1.1e-02
UBE2L6,PR2/PT2,black,0.928,0.541,0.502,,
DNMBP,PR2/PT2,black,0.959,0.523,0.502,Regulation Of Intracellular Signal Transduction,2.2e-02
DBNL,PR2/PT2,black,0.958,0.523,0.501,Protein-Containing Complex Assembly,1.1e-03
NT5C,PR2/PT2,black,0.937,0.535,0.501,Pyrimidine metabolism,7.0e-03
MTIF3,PR2/PT2,black,0.901,0.555,0.5,,
ACOT13,PR2/PT2,black,0.903,0.554,0.5,Negative Regulation Of Multicellular Organismal Process,1.0e-02
EHBP1,PR2/PT2,black,0.916,0.546,0.5,,
PDLIM5,PR2/PT2,black,0.98,0.509,0.499,Circulatory System Development,1.4e-03
SARG,PR2/PT2,black,0.911,0.547,0.499,,
ATG16L1,PR2/PT2,black,0.931,0.536,0.499,,
RWDD1,PR2/PT2,black,0.922,0.54,0.498,,
CIAPIN1,PR2/PT2,black,0.954,0.522,0.498,Negative Regulation Of Apoptotic Process,7.4e-08
GLOD4,PR2/PT2,black,0.962,0.517,0.497,,
NFATC1,PR2/PT2,black,0.875,0.568,0.497,Lipid and atherosclerosis,1.8e-07
MITD1,PR2/PT2,black,0.929,0.534,0.496,Vesicle-Mediated Transport,5.8e-03
SKAP2,PR2/PT2,black,0.967,0.513,0.496,Yersinia infection,3.6e-06
DBN1,PR2/PT2,black,0.901,0.55,0.496,Regulation Of Neuron Projection Development,4.6e-03
ENO1,PR2/PT2,black,0.919,0.54,0.496,Negative Regulation Of Cellular Process,4.6e-06
MAP3K5,PR2/PT2,black,0.956,0.519,0.496,Positive Regulation Of Protein Phosphorylation,6.5e-08
SERPINB1,PR2/PT2,black,0.924,0.536,0.495,Negative Regulation Of Peptidase Activity,1.2e-06
NFE2,PR2/PT2,black,0.917,0.539,0.495,,
STK4,PR2/PT2,black,0.895,0.554,0.495,Positive Regulation Of Phosphorylation,3.7e-09
CDC26,PR2/PT2,black,0.703,0.703,0.494,,
CD69,PR2/PT2,black,0.97,0.508,0.493,,
ESYT2,PR2/PT2,black,0.921,0.535,0.493,,
DBI,PR2/PT2,black,0.934,0.527,0.493,,
EGFLAM,PT1/PT2,lightgrey,0.759,0.648,0.492,,
PDLIM7,PR2/PT2,black,0.94,0.523,0.492,Circulatory System Development,1.4e-03
SRC,PR2/PT2,black,0.949,0.518,0.492,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
RNF5,PR2/PT2,black,0.865,0.568,0.492,Organonitrogen Compound Catabolic Process,7.1e-06
PRKAR2A,PR2/PT2,black,0.953,0.516,0.492,Negative Regulation Of Protein Serine/Threonine Kinase Activity,1.7e-02
CA13,PR2/PT2,black,0.904,0.543,0.491,Nitrogen metabolism,5.9e-03
CACYBP,PR2/PT2,black,0.936,0.523,0.49,Circulatory System Development,1.4e-03
TJAP1,PR2/PT2,black,0.921,0.533,0.49,,
CHMP6,PR2/PT2,black,0.87,0.562,0.489,Negative Regulation Of Cellular Process,4.6e-06
RAB27B,PR2/PT2,black,0.971,0.503,0.489,Vesicle-Mediated Transport,5.8e-03
CETN2,PR2/PT2,black,0.914,0.535,0.489,,
TACC3,PR2/PT2,black,0.914,0.533,0.487,,
DTD1,PR2/PT2,black,0.877,0.556,0.487,,
DNAJA2,PR2/PT2,black,0.966,0.504,0.487,Positive Regulation Of Cell Population Proliferation,1.3e-09
ARHGEF12,PR2/PT2,black,0.925,0.527,0.487,Proteoglycans in cancer,1.8e-07
DMD,PR2/PT2,black,0.891,0.546,0.487,Viral myocarditis,1.1e-03
MAP4K5,PR2/PT2,black,0.926,0.525,0.486,Protein Phosphorylation,2.9e-02
RHOC,PR2/PT2,black,0.917,0.53,0.486,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
GIGYF2,PR2/PT2,black,0.941,0.516,0.486,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,1.3e-05
FXN,PR2/PT2,black,0.908,0.535,0.486,Positive Regulation Of Cell Population Proliferation,1.3e-09
PPP1R2,PR2/PT2,black,0.883,0.551,0.486,,
INPPL1,PR2/PT2,black,0.917,0.529,0.486,Negative Regulation Of Signal Transduction,8.7e-04
WASHC3,PR2/PT2,black,0.945,0.512,0.484,Vesicle-Mediated Transport,5.8e-03
SMTN,PR2/PT2,black,0.953,0.508,0.484,,
LONP1,PR2/PT2,black,0.903,0.536,0.484,Proteolysis,3.4e-09
EHD3,PR2/PT2,black,0.858,0.564,0.484,Endocytosis,2.3e-03
