network,module,n_prot,mt_r,mt_FDR,mmgs_r,mmgs_p,selected
PT1/PT2,dimgrey,127,0.554,0.0278,0.837,1.7418950235614062e-34,True
PR2/PT2,black,946,0.556,0.0437,0.762,1.7247060599333488e-180,True
PT1/PT2,lightgrey,695,0.513,0.0278,0.666,2.792569832583646e-90,True
PT1/PT2,darkgrey,247,0.528,0.0278,0.162,0.0106677174275446,False
