Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Lysosome,2/128,0.0017683979926759,0.0097648198805582,0,0,39.41269841269841,249.7851189979635,CTSO;CTSC
KEGG_2021_Human,Apoptosis,2/142,0.0021699599734573,0.0097648198805582,0,0,35.44642857142857,217.3945967083443,CTSO;CTSC
