MM,GS,score,symbol,name,module
0.9466407171749807,0.5013227550194637,0.4745725323477622,VTI1A,vesicle transport through interaction with t-SNAREs 1A,impute · PR2_PT2_black
0.889673561706448,0.5333586607242697,0.474515099353542,PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,impute · PR2_PT2_black
0.92431996898793,0.5127975237735094,0.4739889912714175,CDKN1A,cyclin dependent kinase inhibitor 1A,impute · PR2_PT2_black
0.921045441470791,0.5145150904383888,0.47389177861620985,TRIM25,tripartite motif containing 25,impute · PR2_PT2_black
0.8081776046173968,0.5856821755731323,0.4733352177217997,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,impute · PR2_PT2_black
0.9343892737372539,0.5062031830854096,0.47299082460666203,TDRKH,tudor and KH domain containing,impute · PR2_PT2_black
0.9430482638566188,0.50058450033416,0.47207534395366263,DCTN1,dynactin subunit 1,impute · PR2_PT2_black
0.9247719243479957,0.5102722757899276,0.47188547442368256,TBL1X,transducin beta like 1 X-linked,impute · PR2_PT2_black
0.9322450139637798,0.5058603353586028,0.47158577540010294,EEF1D,eukaryotic translation elongation factor 1 delta,impute · PR2_PT2_black
0.8917635754493718,0.5278825394136785,0.47074642076483586,RILPL2,Rab interacting lysosomal protein like 2,impute · PR2_PT2_black
0.9142402286962367,0.5146725629101621,0.4705343616186648,CRACR2A,calcium release activated channel regulator 2A,impute · PR2_PT2_black
0.9350623909791329,0.5015834783168793,0.46901184651061123,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase",impute · PR2_PT2_black
0.9157110919915799,0.5119515152995247,0.4687996811216717,RBPMS2,"RNA binding protein, mRNA processing factor 2",impute · PR2_PT2_black
0.8782918339669328,0.5335294093742072,0.4685945234345669,BAG6,BAG cochaperone 6,impute · PR2_PT2_black
0.9181291765293154,0.5091839233331177,0.4674966162318014,BRAP,BRCA1 associated protein,impute · PR2_PT2_black
0.8897257474269192,0.522381031601317,0.46477585378312686,FYB1,FYN binding protein 1,impute · PR2_PT2_black
0.8821859893392203,0.525699243638145,0.46376450734379676,IST1,IST1 factor associated with ESCRT-III,impute · PR2_PT2_black
0.7061823814368668,0.656570612879614,0.46365859898478906,SPON1,spondin 1,impute · PR2_PT2_black
0.9025815252812095,0.512825819408878,0.46286711028565114,DOK2,docking protein 2,impute · PR2_PT2_black
0.9028381242445165,0.5121535450716665,0.46239174595768284,DOK1,docking protein 1,impute · PR2_PT2_black
0.8665061361213604,0.5336041877553029,0.4623713029500245,HCLS1,hematopoietic cell-specific Lyn substrate 1,impute · PR2_PT2_black
0.8504305082825359,0.5433139729592626,0.4620507781807497,NEXN,nexilin F-actin binding protein,impute · PR2_PT2_black
0.8689629940932526,0.5314802323972558,0.46183665404529717,HEXIM1,HEXIM P-TEFb complex subunit 1,impute · PR2_PT2_black
0.9174888219539693,0.5032913342558989,0.46176417336608605,TBCB,tubulin folding cofactor B,impute · PR2_PT2_black
