Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),12/74,0.0001709662946551,0.0037807356552222,0,0,3.935622021136976,34.137759083138135,GRN;PTPRZ1;MDK;F2R;NTF3;CCL2;PARK7;APOE;SOD2;CX3CL1;SOD1;LGMN,neurological signaling
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase Activity (GO:0045860),18/145,0.0001722585870209,0.0037853553651029,0,0,2.890697121911485,25.05226649066417,EPHA4;CSF1R;PTPN1;MAP2K1;CALCA;CDKN1A;ACE;SRC;PDGFB;AXIN1;DKK1;TGFBR2;GH1;TCL1A;CCL5;IL12B;SNX9;MAP3K5,
GO_Biological_Process_2023,Regulation Of Tissue Remodeling (GO:0034103),6/19,0.0001758132100752,0.0038393209750191,0,0,9.34909983633388,80.83314395296252,CST3;TGFB1;MDK;LEP;IL18;IL12B,
GO_Biological_Process_2023,Negative Regulation Of Immune System Process (GO:0002683),9/44,0.0001812844673617,0.0039342107388943,0,0,5.219423692636073,44.967647930319664,LYN;FCRLB;COL3A1;BPIFB1;HMOX1;TREM2;FADD;PDCD1;IL17D,immune
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),15/109,0.000188178401717,0.0040586131827128,0,0,3.249765751765432,27.876880914843376,VIT;COL15A1;MMP7;DMP1;MMP10;ADAMTS16;MMP12;ADAMTS15;COL3A1;SPINT1;ADAMTSL4;SMOC1;ADAMTS8;RECK;MATN2,
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),19/159,0.0001906046696676,0.0040857221829361,0,0,2.769039913700108,23.71768268029375,CD274;CXCL6;F2R;ERBIN;TNFRSF11A;PDCD1LG2;CXCL3;SELE;SELP;CXCL11;CASP7;IRAK1;CD6;TNIP1;AXL;ADAM9;CCL2;GIT1;PF4,
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),10/54,0.0001919365689805,0.0040891851952327,0,0,4.615870240870241,39.50421281418981,CSF1R;CXCL12;MSTN;MDK;CCL5;CXCL17;XCL1;PLA2G7;PGF;LGMN,immune
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),14/98,0.0002047867887269,0.0043365153928006,0,0,3.392346208869814,28.81303220505592,EPHA4;CDKN1A;EDN1;TGFB1;SHMT1;ADIPOQ;EIF2AK2;AKR1B1;GZMB;PRG3;GIGYF2;RIDA;GAPDH;PF4,
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),15/110,0.0002085386294806,0.004389361273526,0,0,3.21538809429589,27.25165607688573,VIT;COL15A1;MMP7;DMP1;MMP10;ADAMTS16;MMP12;ADAMTS15;COL3A1;SPINT1;ADAMTSL4;SMOC1;ADAMTS8;RECK;MATN2,
GO_Biological_Process_2023,Positive Regulation Of Macrophage Chemotaxis (GO:0010759),5/13,0.0002193074247004,0.0045883840832547,0,0,12.650106269925612,106.57760131934305,CSF1R;MSTN;MDK;CCL5;CXCL17,
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),20/174,0.00022181070972,0.0046131346414397,0,0,2.65069703514628,22.302133061627547,SCARB2;RTN4R;LYN;EPHA4;MYCBP2;TWF2;CX3CL1;MDK;NCS1;PLXNB3;TNR;SPOCK1;ROR1;APOE;RTN4IP1;FKBP4;PDLIM5;SCARF1;ARSB;DBN1,neurological signaling
GO_Biological_Process_2023,Negative Regulation Of Inflammatory Response (GO:0050728),15/111,0.0002307760830304,0.0047711931012334,0,0,3.18172663802363,26.64397821816083,LYN;GRN;YES1;SRC;ADIPOQ;CXCL17;APOA1;TREM2;TNFRSF1A;MDK;CCN3;PTPN6;APOE;TEK;GIT1,immune
GO_Biological_Process_2023,Regulation Of Macrophage Chemotaxis (GO:0010758),6/20,0.0002411560815449,0.0049564667583404,0,0,8.680851063829786,72.31206397186655,CSF1R;MSTN;MDK;CCL5;CXCL17;MTUS1,
GO_Biological_Process_2023,Negative Regulation Of Wound Healing (GO:0061045),7/28,0.0002558997592247,0.0051983358065778,0,0,6.756478523251686,55.88097418357726,THBD;EDN1;SERPINE2;CD109;EPPK1;APOE;TFPI,
GO_Biological_Process_2023,Regulation Of Platelet Activation (GO:0010543),7/28,0.0002558997592247,0.0051983358065778,0,0,6.756478523251686,55.88097418357726,LYN;SELP;THBD;PDGFB;PLA2G4A;GP1BA;GP5,
GO_Biological_Process_2023,Positive Regulation Of Cellular Metabolic Process (GO:0031325),10/56,0.0002621878228034,0.0052952846987001,0,0,4.414715719063545,36.40572992557147,ACE2;CDKN1A;DCXR;CCL5;ADIPOQ;SORD;PDGFB;IFNLR1;RNF41;TGFBR2,
GO_Biological_Process_2023,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),8/37,0.0002759637105299,0.0055098125976668,0,0,5.595176825233438,45.85382355259513,GH1;ERBB4;CCL5;LEP;F2R;KIT;PRL;PIBF1,
GO_Biological_Process_2023,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894),8/37,0.0002759637105299,0.0055098125976668,0,0,5.595176825233438,45.85382355259513,GH1;TGFB1;ERBB4;CCL5;LEP;F2R;KIT;PRL,
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),33/364,0.0002809331990484,0.0055771624856547,0,0,2.04451643431733,16.71881569237824,CALCOCO1;PDCD5;PDGFB;TNC;AKR1B1;ECE1;TREM2;PARK7;DLL1;VSIR;FGF5;CDH3;CD34;CD74;PTPN1;MAP2K1;TGFB1;ANXA2;EGF;FN1;DKK1;BMP6;BMP4;OCLN;DNAJA4;PLA2G10;CD28;ERP29;CNTN1;CD46;HSPA1A;PF4;EIF4G1,
GO_Biological_Process_2023,Extrinsic Apoptotic Signaling Pathway (GO:0097191),11/67,0.0002828390387522,0.0055832745841821,0,0,3.9911764705882353,32.61043654219419,CASP8;TGFB1;CRADD;DIABLO;SORT1;CD27;FASLG;ITGAV;FADD;RNF41;TNFRSF1A,
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),12/78,0.0002845648955832,0.0055857850852131,0,0,3.6963208098111737,30.17879320836717,BAG6;ATXN3;CASP8;CLPP;GZMA;LONP1;OTUD7B;GZMB;CTSC;CTSB;RNF41;LGMN,
GO_Biological_Process_2023,Vesicle-Mediated Transport (GO:0016192),36/411,0.0002957206924462,0.0057673020318333,0,0,1.970531868131868,16.012729467813795,TINAGL1;STXBP1;SNAP23;STAB2;INPPL1;TNFAIP2;DPY30;AP1G2;CCL5;DNER;STX4;SNX9;STX3;SNAP29;RILP;RAB11FIP3;WASHC3;ANXA2;SORT1;STX8;VTA1;STX7;HIP1R;IRAG2;RAB27B;AP3B1;COMMD1;DNM1;VAMP8;EHD3;RABEP1;PLIN3;MITD1;TBC1D23;CHMP6;ARF6,
GO_Biological_Process_2023,"Regulation Of Complement Activation, Classical Pathway (GO:0030450)",4/8,0.0002987640720554,0.0057673020318333,0,0,20.22292993630573,164.1263943940429,CR2;CR1;TREM2;CD46,immune
GO_Biological_Process_2023,Synapse Pruning (GO:0098883),4/8,0.0002987640720554,0.0057673020318333,0,0,20.22292993630573,164.1263943940429,C3;TREM2;DKK1;CX3CL1,neurological signaling
GO_Biological_Process_2023,Negative Regulation Of Hydrolase Activity (GO:0051346),9/47,0.000306854535855,0.0058909326828441,0,0,4.806605628264899,38.881290217106056,ATP5IF1;CST3;GCHFR;ECM1;KLRK1;PLXNB3;CST7;SERPINA5;CTSB,
GO_Biological_Process_2023,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),18/152,0.0003113142834997,0.0059438912926129,0,0,2.738677303139475,22.11401842861757,CD40;IL18;EIF2AK2;AKR1B1;TRAF2;IL1RAP;TNFRSF11A;CX3CL1;EDA2R;CRNN;CD40LG;IRAK1;TRIM25;TRIM58;ROR1;IKBKG;IL18R1;HSPA1A,
